pair_index,drug_1,drug_2,defect_class,detail
13,haloperidol,ustekinumab,hub_pair,"'ustekinumab' degree 140 (16.9% of rows): IgG1k monoclonal antibody; cleared by proteolytic catabolism, no CYP/transporter involvement, so absence of a reported interaction is structurally predetermined"
14,isosorbide,citalopram,name_ambiguous,"'isosorbide': resolves to RxNorm IN 6057 'isosorbide', the osmotic diuretic (450 mg/mL oral solution), NOT the intended top-200 antianginal; does not distinguish isosorbide mononitrate (PIN 28004) from isosorbide dinitrate (IN 6058)"
15,isosorbide,dalteparin,hub_pair,"'dalteparin' degree 82 (9.9% of rows): LMWH, renally cleared, no CYP metabolism"
15,isosorbide,dalteparin,name_ambiguous,"'isosorbide': resolves to RxNorm IN 6057 'isosorbide', the osmotic diuretic (450 mg/mL oral solution), NOT the intended top-200 antianginal; does not distinguish isosorbide mononitrate (PIN 28004) from isosorbide dinitrate (IN 6058)"
16,isosorbide,dextromethorph,name_ambiguous,"'isosorbide': resolves to RxNorm IN 6057 'isosorbide', the osmotic diuretic (450 mg/mL oral solution), NOT the intended top-200 antianginal; does not distinguish isosorbide mononitrate (PIN 28004) from isosorbide dinitrate (IN 6058)"
16,isosorbide,dextromethorph,name_truncated,"'dextromethorph': truncated form of 'dextromethorphan'; fails RxNorm exact lookup (search=0), resolves only via normalized search to 4 concepts (IN 3289 dextromethorphan + 3 PIN salts)"
17,isosorbide,heparin,hub_pair,"'heparin' degree 63 (7.6% of rows): unfractionated heparin, reticuloendothelial clearance, no CYP metabolism"
17,isosorbide,heparin,name_ambiguous,"'isosorbide': resolves to RxNorm IN 6057 'isosorbide', the osmotic diuretic (450 mg/mL oral solution), NOT the intended top-200 antianginal; does not distinguish isosorbide mononitrate (PIN 28004) from isosorbide dinitrate (IN 6058)"
18,isosorbide,levetiracetam,hub_pair,"'levetiracetam' degree 78 (9.4% of rows): non-CYP, non-protein-bound antiepileptic; renal/hydrolytic clearance"
18,isosorbide,levetiracetam,name_ambiguous,"'isosorbide': resolves to RxNorm IN 6057 'isosorbide', the osmotic diuretic (450 mg/mL oral solution), NOT the intended top-200 antianginal; does not distinguish isosorbide mononitrate (PIN 28004) from isosorbide dinitrate (IN 6058)"
19,isosorbide,liraglutide,hub_pair,"'liraglutide' degree 72 (8.7% of rows): GLP-1 peptide, endopeptidase-degraded, no CYP involvement"
19,isosorbide,liraglutide,name_ambiguous,"'isosorbide': resolves to RxNorm IN 6057 'isosorbide', the osmotic diuretic (450 mg/mL oral solution), NOT the intended top-200 antianginal; does not distinguish isosorbide mononitrate (PIN 28004) from isosorbide dinitrate (IN 6058)"
20,isosorbide,sevelamer,hub_pair,"'sevelamer' degree 152 (18.4% of rows): non-absorbed polymeric phosphate binder; negligible systemic exposure, so absence of a reported interaction is a property of the molecule, not evidence about the pair"
20,isosorbide,sevelamer,name_ambiguous,"'isosorbide': resolves to RxNorm IN 6057 'isosorbide', the osmotic diuretic (450 mg/mL oral solution), NOT the intended top-200 antianginal; does not distinguish isosorbide mononitrate (PIN 28004) from isosorbide dinitrate (IN 6058)"
21,isosorbide,ustekinumab,hub_pair,"'ustekinumab' degree 140 (16.9% of rows): IgG1k monoclonal antibody; cleared by proteolytic catabolism, no CYP/transporter involvement, so absence of a reported interaction is structurally predetermined"
21,isosorbide,ustekinumab,name_ambiguous,"'isosorbide': resolves to RxNorm IN 6057 'isosorbide', the osmotic diuretic (450 mg/mL oral solution), NOT the intended top-200 antianginal; does not distinguish isosorbide mononitrate (PIN 28004) from isosorbide dinitrate (IN 6058)"
22,spironolactone,sevelamer,hub_pair,"'sevelamer' degree 152 (18.4% of rows): non-absorbed polymeric phosphate binder; negligible systemic exposure, so absence of a reported interaction is a property of the molecule, not evidence about the pair"
22,spironolactone,sevelamer,implausible_coprescription,"sevelamer indicates dialysis-dependent CKD (hyperphosphataemia of ESRD), but spironolactone is contraindicated in anuria/severe renal impairment (hyperkalaemia) — the two drugs are not co-prescribable in the same patient, so 'no reported interaction' reflects absent co-exposure"
23,spironolactone,ustekinumab,hub_pair,"'ustekinumab' degree 140 (16.9% of rows): IgG1k monoclonal antibody; cleared by proteolytic catabolism, no CYP/transporter involvement, so absence of a reported interaction is structurally predetermined"
24,sumatriptan,dalteparin,hub_pair,"'dalteparin' degree 82 (9.9% of rows): LMWH, renally cleared, no CYP metabolism"
25,sumatriptan,heparin,hub_pair,"'heparin' degree 63 (7.6% of rows): unfractionated heparin, reticuloendothelial clearance, no CYP metabolism"
26,sumatriptan,liraglutide,hub_pair,"'liraglutide' degree 72 (8.7% of rows): GLP-1 peptide, endopeptidase-degraded, no CYP involvement"
27,sumatriptan,sevelamer,hub_pair,"'sevelamer' degree 152 (18.4% of rows): non-absorbed polymeric phosphate binder; negligible systemic exposure, so absence of a reported interaction is a property of the molecule, not evidence about the pair"
28,sumatriptan,ustekinumab,hub_pair,"'ustekinumab' degree 140 (16.9% of rows): IgG1k monoclonal antibody; cleared by proteolytic catabolism, no CYP/transporter involvement, so absence of a reported interaction is structurally predetermined"
29,tizanidine,heparin,hub_pair,"'heparin' degree 63 (7.6% of rows): unfractionated heparin, reticuloendothelial clearance, no CYP metabolism"
30,tizanidine,liraglutide,hub_pair,"'liraglutide' degree 72 (8.7% of rows): GLP-1 peptide, endopeptidase-degraded, no CYP involvement"
31,tizanidine,sevelamer,hub_pair,"'sevelamer' degree 152 (18.4% of rows): non-absorbed polymeric phosphate binder; negligible systemic exposure, so absence of a reported interaction is a property of the molecule, not evidence about the pair"
32,tizanidine,ustekinumab,hub_pair,"'ustekinumab' degree 140 (16.9% of rows): IgG1k monoclonal antibody; cleared by proteolytic catabolism, no CYP/transporter involvement, so absence of a reported interaction is structurally predetermined"
35,allopurinol,dalteparin,hub_pair,"'dalteparin' degree 82 (9.9% of rows): LMWH, renally cleared, no CYP metabolism"
36,allopurinol,dextromethorph,name_truncated,"'dextromethorph': truncated form of 'dextromethorphan'; fails RxNorm exact lookup (search=0), resolves only via normalized search to 4 concepts (IN 3289 dextromethorphan + 3 PIN salts)"
37,allopurinol,heparin,hub_pair,"'heparin' degree 63 (7.6% of rows): unfractionated heparin, reticuloendothelial clearance, no CYP metabolism"
38,allopurinol,levetiracetam,hub_pair,"'levetiracetam' degree 78 (9.4% of rows): non-CYP, non-protein-bound antiepileptic; renal/hydrolytic clearance"
39,allopurinol,liraglutide,hub_pair,"'liraglutide' degree 72 (8.7% of rows): GLP-1 peptide, endopeptidase-degraded, no CYP involvement"
40,allopurinol,sevelamer,hub_pair,"'sevelamer' degree 152 (18.4% of rows): non-absorbed polymeric phosphate binder; negligible systemic exposure, so absence of a reported interaction is a property of the molecule, not evidence about the pair"
41,allopurinol,ustekinumab,hub_pair,"'ustekinumab' degree 140 (16.9% of rows): IgG1k monoclonal antibody; cleared by proteolytic catabolism, no CYP/transporter involvement, so absence of a reported interaction is structurally predetermined"
42,alprazolam,dalteparin,hub_pair,"'dalteparin' degree 82 (9.9% of rows): LMWH, renally cleared, no CYP metabolism"
43,alprazolam,heparin,hub_pair,"'heparin' degree 63 (7.6% of rows): unfractionated heparin, reticuloendothelial clearance, no CYP metabolism"
44,alprazolam,sevelamer,hub_pair,"'sevelamer' degree 152 (18.4% of rows): non-absorbed polymeric phosphate binder; negligible systemic exposure, so absence of a reported interaction is a property of the molecule, not evidence about the pair"
45,alprazolam,ustekinumab,hub_pair,"'ustekinumab' degree 140 (16.9% of rows): IgG1k monoclonal antibody; cleared by proteolytic catabolism, no CYP/transporter involvement, so absence of a reported interaction is structurally predetermined"
46,amlodipine,sevelamer,hub_pair,"'sevelamer' degree 152 (18.4% of rows): non-absorbed polymeric phosphate binder; negligible systemic exposure, so absence of a reported interaction is a property of the molecule, not evidence about the pair"
47,amlodipine,ustekinumab,hub_pair,"'ustekinumab' degree 140 (16.9% of rows): IgG1k monoclonal antibody; cleared by proteolytic catabolism, no CYP/transporter involvement, so absence of a reported interaction is structurally predetermined"
49,amoxicillin,dalteparin,hub_pair,"'dalteparin' degree 82 (9.9% of rows): LMWH, renally cleared, no CYP metabolism"
50,amoxicillin,dextromethorph,name_truncated,"'dextromethorph': truncated form of 'dextromethorphan'; fails RxNorm exact lookup (search=0), resolves only via normalized search to 4 concepts (IN 3289 dextromethorphan + 3 PIN salts)"
51,amoxicillin,heparin,hub_pair,"'heparin' degree 63 (7.6% of rows): unfractionated heparin, reticuloendothelial clearance, no CYP metabolism"
52,amoxicillin,levetiracetam,hub_pair,"'levetiracetam' degree 78 (9.4% of rows): non-CYP, non-protein-bound antiepileptic; renal/hydrolytic clearance"
53,amoxicillin,liraglutide,hub_pair,"'liraglutide' degree 72 (8.7% of rows): GLP-1 peptide, endopeptidase-degraded, no CYP involvement"
54,amoxicillin,sevelamer,hub_pair,"'sevelamer' degree 152 (18.4% of rows): non-absorbed polymeric phosphate binder; negligible systemic exposure, so absence of a reported interaction is a property of the molecule, not evidence about the pair"
55,amoxicillin,ustekinumab,hub_pair,"'ustekinumab' degree 140 (16.9% of rows): IgG1k monoclonal antibody; cleared by proteolytic catabolism, no CYP/transporter involvement, so absence of a reported interaction is structurally predetermined"
56,aspirin,levetiracetam,hub_pair,"'levetiracetam' degree 78 (9.4% of rows): non-CYP, non-protein-bound antiepileptic; renal/hydrolytic clearance"
57,aspirin,sevelamer,hub_pair,"'sevelamer' degree 152 (18.4% of rows): non-absorbed polymeric phosphate binder; negligible systemic exposure, so absence of a reported interaction is a property of the molecule, not evidence about the pair"
58,aspirin,ustekinumab,hub_pair,"'ustekinumab' degree 140 (16.9% of rows): IgG1k monoclonal antibody; cleared by proteolytic catabolism, no CYP/transporter involvement, so absence of a reported interaction is structurally predetermined"
59,atenolol,clindamycin,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
60,atenolol,colchicine,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
61,atenolol,sumatriptan,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
62,atenolol,atomoxetine,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
63,atenolol,cefdinir,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
64,atenolol,cefuroxime,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
65,atenolol,cephalexin,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
66,atenolol,chlorhexidine,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
66,atenolol,chlorhexidine,implausible_coprescription,"chlorhexidine is a topical/oral-rinse antiseptic with negligible systemic absorption; a systemic pharmacokinetic interaction is precluded by route, so the negative label is uninformative"
67,atenolol,acyclovir,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
68,atenolol,clopidogrel,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
69,atenolol,clotrimazole,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
69,atenolol,clotrimazole,implausible_coprescription,"clotrimazole here is topical/troche formulation with minimal systemic exposure; a systemic pharmacokinetic interaction is precluded by route, so the negative label is uninformative"
70,atenolol,cyclosporine,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
71,atenolol,finasteride,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
72,atenolol,gemfibrozil,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
73,atenolol,granisetron,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
74,atenolol,irbesartan,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
75,atenolol,ketoconazole,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
76,atenolol,lansoprazole,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
77,atenolol,losartan,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
78,atenolol,pioglitazone,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
79,atenolol,prednisolone,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
80,atenolol,tramadol,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
81,atenolol,clarithromycin,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
82,atenolol,perindopril,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
83,atenolol,pemetrexed,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
84,atenolol,doxycycline,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
85,atenolol,cinacalcet,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
86,atenolol,conjugated estrogens,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
86,atenolol,conjugated estrogens,name_ambiguous,"'conjugated estrogens': multi-component botanical mixture (IN 4099, 'estrogens, conjugated (USP)'); not a single ingredient — component estrogens have distinct CYP substrate profiles"
87,atenolol,dalteparin,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism; 'dalteparin' degree 82 (9.9% of rows): LMWH, renally cleared, no CYP metabolism"
88,atenolol,dextromethorph,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
88,atenolol,dextromethorph,name_truncated,"'dextromethorph': truncated form of 'dextromethorphan'; fails RxNorm exact lookup (search=0), resolves only via normalized search to 4 concepts (IN 3289 dextromethorphan + 3 PIN salts)"
89,atenolol,dutasteride,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
90,atenolol,eletriptan,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
91,atenolol,ezetimibe,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
92,atenolol,famotidine,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
93,atenolol,fenofibrate,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
94,atenolol,gabapentin,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
95,atenolol,heparin,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism; 'heparin' degree 63 (7.6% of rows): unfractionated heparin, reticuloendothelial clearance, no CYP metabolism"
96,atenolol,hydralazine,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
97,atenolol,lactulose,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
98,atenolol,levetiracetam,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism; 'levetiracetam' degree 78 (9.4% of rows): non-CYP, non-protein-bound antiepileptic; renal/hydrolytic clearance"
99,atenolol,levofloxacin,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
100,atenolol,liraglutide,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism; 'liraglutide' degree 72 (8.7% of rows): GLP-1 peptide, endopeptidase-degraded, no CYP involvement"
101,atenolol,memantine,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
102,atenolol,methocarbamol,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
103,atenolol,metronidazole,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
104,atenolol,montelukast,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
105,atenolol,mupirocin,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
105,atenolol,mupirocin,implausible_coprescription,"mupirocin is a topical-only antibacterial with negligible systemic absorption; a systemic pharmacokinetic interaction is precluded by route, so the negative label is uninformative"
106,atenolol,nitrofurantoin,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
107,atenolol,omeprazole,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
108,atenolol,oseltamivir,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
109,atenolol,pantoprazole,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
110,atenolol,paracetamol,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
110,atenolol,paracetamol,name_nomenclature_inconsistent,'paracetamol': INN; the RxNorm/USAN preferred term is acetaminophen (IN 161). Inconsistent with the otherwise-USAN naming of the source top-200 US prescription list
111,atenolol,phenazopyridine,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
112,atenolol,phenytoin,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
113,atenolol,pravastatin,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
114,atenolol,pregabalin,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
115,atenolol,raloxifene,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
116,atenolol,raltegravir,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
117,atenolol,ramipril,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
118,atenolol,rosuvastatin,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
119,atenolol,sevelamer,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism; 'sevelamer' degree 152 (18.4% of rows): non-absorbed polymeric phosphate binder; negligible systemic exposure, so absence of a reported interaction is a property of the molecule, not evidence about the pair"
120,atenolol,solifenacin,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
121,atenolol,triamcinolone,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
122,atenolol,valproate,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
123,atenolol,venlafaxine,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
124,atenolol,zolmitriptan,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
125,atomoxetine,dalteparin,hub_pair,"'dalteparin' degree 82 (9.9% of rows): LMWH, renally cleared, no CYP metabolism"
126,atomoxetine,liraglutide,hub_pair,"'liraglutide' degree 72 (8.7% of rows): GLP-1 peptide, endopeptidase-degraded, no CYP involvement"
127,atomoxetine,sevelamer,hub_pair,"'sevelamer' degree 152 (18.4% of rows): non-absorbed polymeric phosphate binder; negligible systemic exposure, so absence of a reported interaction is a property of the molecule, not evidence about the pair"
128,atomoxetine,ustekinumab,hub_pair,"'ustekinumab' degree 140 (16.9% of rows): IgG1k monoclonal antibody; cleared by proteolytic catabolism, no CYP/transporter involvement, so absence of a reported interaction is structurally predetermined"
129,atorvastatin,atenolol,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
130,atorvastatin,sevelamer,hub_pair,"'sevelamer' degree 152 (18.4% of rows): non-absorbed polymeric phosphate binder; negligible systemic exposure, so absence of a reported interaction is a property of the molecule, not evidence about the pair"
131,atorvastatin,ustekinumab,hub_pair,"'ustekinumab' degree 140 (16.9% of rows): IgG1k monoclonal antibody; cleared by proteolytic catabolism, no CYP/transporter involvement, so absence of a reported interaction is structurally predetermined"
132,azithromycin,atenolol,hub_pair,"'atenolol' degree 77 (9.3% of rows): hydrophilic beta-blocker, renally cleared, no significant CYP metabolism"
133,azithromycin,dalteparin,hub_pair,"'dalteparin' degree 82 (9.9% of rows): LMWH, renally cleared, no CYP metabolism"
134,azithromycin,heparin,hub_pair,"'heparin' degree 63 (7.6% of rows): unfractionated heparin, reticuloendothelial clearance, no CYP metabolism"
135,azithromycin,liraglutide,hub_pair,"'liraglutide' degree 72 (8.7% of rows): GLP-1 peptide, endopeptidase-degraded, no CYP involvement"
136,azithromycin,sevelamer,hub_pair,"'sevelamer' degree 152 (18.4% of rows): non-absorbed polymeric phosphate binder; negligible systemic exposure, so absence of a reported interaction is a property of the molecule, not evidence about the pair"
137,azithromycin,ustekinumab,hub_pair,"'ustekinumab' degree 140 (16.9% of rows): IgG1k monoclonal antibody; cleared by proteolytic catabolism, no CYP/transporter involvement, so absence of a reported interaction is structurally predetermined"
138,baclofen,dalteparin,hub_pair,"'dalteparin' degree 82 (9.9% of rows): LMWH, renally cleared, no CYP metabolism"
139,baclofen,heparin,hub_pair,"'heparin' degree 63 (7.6% of rows): unfractionated heparin, reticuloendothelial clearance, no CYP metabolism"
140,baclofen,liraglutide,hub_pair,"'liraglutide' degree 72 (8.7% of rows): GLP-1 peptide, endopeptidase-degraded, no CYP involvement"
141,baclofen,sevelamer,hub_pair,"'sevelamer' degree 152 (18.4% of rows): non-absorbed polymeric phosphate binder; negligible systemic exposure, so absence of a reported interaction is a property of the molecule, not evidence about the pair"
142,baclofen,ustekinumab,hub_pair,"'ustekinumab' degree 140 (16.9% of rows): IgG1k monoclonal antibody; cleared by proteolytic catabolism, no CYP/transporter involvement, so absence of a reported interaction is structurally predetermined"
143,benztropine,dalteparin,hub_pair,"'dalteparin' degree 82 (9.9% of rows): LMWH, renally cleared, no CYP metabolism"
144,benztropine,sevelamer,hub_pair,"'sevelamer' degree 152 (18.4% of rows): non-absorbed polymeric phosphate binder; negligible systemic exposure, so absence of a reported interaction is a property of the molecule, not evidence about the pair"
145,benztropine,ustekinumab,hub_pair,"'ustekinumab' degree 140 (16.9% of rows): IgG1k monoclonal antibody; cleared by proteolytic catabolism, no CYP/transporter involvement, so absence of a reported interaction is structurally predetermined"
146,buprenorphine,dalteparin,hub_pair,"'dalteparin' degree 82 (9.9% of rows): LMWH, renally cleared, no CYP metabolism"
147,buprenorphine,sevelamer,hub_pair,"'sevelamer' degree 152 (18.4% of rows): non-absorbed polymeric phosphate binder; negligible systemic exposure, so absence of a reported interaction is a property of the molecule, not evidence about the pair"
148,buprenorphine,ustekinumab,hub_pair,"'ustekinumab' degree 140 (16.9% of rows): IgG1k monoclonal antibody; cleared by proteolytic catabolism, no CYP/transporter involvement, so absence of a reported interaction is structurally predetermined"
149,carvedilol,liraglutide,hub_pair,"'liraglutide' degree 72 (8.7% of rows): GLP-1 peptide, endopeptidase-degraded, no CYP involvement"
150,carvedilol,sevelamer,hub_pair,"'sevelamer' degree 152 (18.4% of rows): non-absorbed polymeric phosphate binder; negligible systemic exposure, so absence of a reported interaction is a property of the molecule, not evidence about the pair"
151,carvedilol,ustekinumab,hub_pair,"'ustekinumab' degree 140 (16.9% of rows): IgG1k monoclonal antibody; cleared by proteolytic catabolism, no CYP/transporter involvement, so absence of a reported interaction is structurally predetermined"
154,cefdinir,conjugated estrogens,name_ambiguous,"'conjugated estrogens': multi-component botanical mixture (IN 4099, 'estrogens, conjugated (USP)'); not a single ingredient — component estrogens have distinct CYP substrate profiles"
155,cefdinir,dalteparin,hub_pair,"'dalteparin' degree 82 (9.9% of rows): LMWH, renally cleared, no CYP metabolism"
156,cefdinir,dextromethorph,name_truncated,"'dextromethorph': truncated form of 'dextromethorphan'; fails RxNorm exact lookup (search=0), resolves only via normalized search to 4 concepts (IN 3289 dextromethorphan + 3 PIN salts)"
